,NAICS_Code, Action.Obligation , Obligation.2016 , minyear ,maxyear,2007 to 2012,1997 to 2002,,2007 NAICS U.S. Matched to 2012 NAICS U.S. (Full Concordance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,713,713940,Fitness and Recreational Sports Centers,713940,Fitness and Recreational Sports Centers,,,,,,,,,,,,,711,711211,Sports Teams and Clubs,711211,Sports Teams and Clubs,,,,,541,541199,All Other Legal Services,541199,All Other Legal Services,
,,,,,,,,713,713950,Bowling Centers,713950,Bowling Centers,,,,,,,,,,,,,711,711212,Racetracks,711212,Racetracks,,,,,541,541211,Offices of Certified Public Accountants,541211,Offices of Certified Public Accountants,
,,,,,,,,713,713990,All Other Amusement and Recreation Industries,713990,All Other Amusement and Recreation Industries,,,,,,,,,,,,,711,711219,Other Spectator Sports,711219,Other Spectator Sports,,,,,541,541213,Tax Preparation Services,541213,Tax Preparation Services,
,,,,,,,,721,721110,Hotels (except Casino Hotels) and Motels,721110,Hotels (except Casino Hotels) and Motels,,,,,,,,,,,,,711,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities",,,,,541,541214,Payroll Services,541214,Payroll Services,
,,,,,,,,721,721120,Casino Hotels,721120,Casino Hotels,,,,,,,,,,,,,711,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",,,,,541,541219,Other Accounting Services,541219,Other Accounting Services,
,,,,,,,,721,721191,Bed-and-Breakfast Inns,721191,Bed-and-Breakfast Inns,,,,,,,,,,,,,711,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures",,,,,541,541310,Architectural Services,541310,Architectural Services,
,,,,,,,,721,721199,All Other Traveler Accommodation,721199,All Other Traveler Accommodation,,,,,,,,,,,,,711,711510,"Independent Artists, Writers, and Performers",711510,"Independent Artists, Writers, and Performers",,,,,541,541320,Landscape Architectural Services,541320,Landscape Architectural Services,
,,,,,,,,721,721211,RV (Recreational Vehicle) Parks and Campgrounds,721211,RV (Recreational Vehicle) Parks and Campgrounds,,,,,,,,,,,,,712,712110,Museums,712110,Museums,,,,,541,541330,Engineering Services,541330,Engineering Services,
,,,,,,,,721,721214,Recreational and Vacation Camps (except Campgrounds),721214,Recreational and Vacation Camps (except Campgrounds),,,,,,,,,,,,,712,712120,Historical Sites,712120,Historical Sites,,,,,541,541340,Drafting Services,541340,Drafting Services,
,,,,,,,,721,721310,Rooming and Boarding Houses,721310,Rooming and Boarding Houses,,,,,,,,,,,,,712,712130,Zoos and Botanical Gardens,712130,Zoos and Botanical Gardens,,,,,541,541350,Building Inspection Services,541350,Building Inspection Services,
,,,,,,,,722,722110,Full-Service Restaurants,722511,Full-Service Restaurants,,,,,,,,,,,,,712,712190,Nature Parks and Other Similar Institutions,712190,Nature Parks and Other Similar Institutions,,,,,541,541360,Geophysical Surveying and Mapping Services,541360,Geophysical Surveying and Mapping Services,
,,,,,,,,722,722211,Limited-Service Restaurants,722513,Limited-Service Restaurants,,,,,,,,,,,,,713,713110,Amusement and Theme Parks,713110,Amusement and Theme Parks,,,,,541,541370,Surveying and Mapping (except Geophysical) Services,541370,Surveying and Mapping (except Geophysical) Services,
,,,,,,,,722,722212,"Cafeterias, Grill Buffets, and Buffets",722514,"Cafeterias, Grill Buffets, and Buffets",,,,,,,,,,,,,713,713120,Amusement Arcades,713120,Amusement Arcades,,,,,541,541380,Testing Laboratories,541380,Testing Laboratories,
,,,,,,,,722,722213,Snack and Nonalcoholic Beverage Bars,722515,Snack and Nonalcoholic Beverage Bars,,,,,,,,,,,,,713,713210,Casinos (except Casino Hotels),713210,Casinos (except Casino Hotels),,,,,541,541410,Interior Design Services,541410,Interior Design Services,
,,,,,,,,722,722310,Food Service Contractors,722310,Food Service Contractors,,,,,,,,,,,,,713,713290,Other Gambling Industries,713290,Other Gambling Industries,,,,,541,541420,Industrial Design Services,541420,Industrial Design Services,
,,,,,,,,722,722320,Caterers,722320,Caterers,,,,,,,,,,,,,713,713910,Golf Courses and Country Clubs,713910,Golf Courses and Country Clubs,,,,,541,541430,Graphic Design Services,541430,Graphic Design Services,
,,,,,,,,722,722330,Mobile Food Services,722330,Mobile Food Services,,,,,,,,,,,,,713,713920,Skiing Facilities,713920,Skiing Facilities,,,,,541,541490,Other Specialized Design Services,541490,Other Specialized Design Services,
,,,,,,,,722,722410,Drinking Places (Alcoholic Beverages),722410,Drinking Places (Alcoholic Beverages),,,,,,,,,,,,,713,713930,Marinas,713930,Marinas,,,,,541,541511,Custom Computer Programming Services,541511,Custom Computer Programming Services,
,,,,,,,,811,811111,General Automotive Repair,811111,General Automotive Repair,,,,,,,,,,,,,713,713940,Fitness and Recreational Sports Centers,713940,Fitness and Recreational Sports Centers,,,,,541,541512,Computer Systems Design Services,541512,Computer Systems Design Services,
,,,,,,,,811,811112,Automotive Exhaust System Repair,811112,Automotive Exhaust System Repair,,,,,,,,,,,,,713,713950,Bowling Centers,713950,Bowling Centers,,,,,541,541513,Computer Facilities Management Services,541513,Computer Facilities Management Services,
,,,,,,,,811,811113,Automotive Transmission Repair,811113,Automotive Transmission Repair,,,,,,,,,,,,,713,713990,All Other Amusement and Recreation Industries,713990,All Other Amusement and Recreation Industries,,,,,541,541519,Other Computer Related Services,541519,Other Computer Related Services,
,,,,,,,,811,811118,Other Automotive Mechanical and Electrical Repair and Maintenance,811118,Other Automotive Mechanical and Electrical Repair and Maintenance,,,,,,,,,,,,,721,721110,Hotels (except Casino Hotels) and Motels,721110,Hotels (except Casino Hotels) and Motels,,,,,541,541611,Administrative Management and General Management Consulting Services,541611,Administrative Management and General Management Consulting Services,
,,,,,,,,811,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",811121,"Automotive Body, Paint, and Interior Repair and Maintenance",,,,,,,,,,,,,721,721120,Casino Hotels,721120,Casino Hotels,,,,,541,541612,Human Resources and Executive Search Consulting Services,541612,Human Resources and Executive Search Consulting Services,
,,,,,,,,811,811122,Automotive Glass Replacement Shops,811122,Automotive Glass Replacement Shops,,,,,,,,,,,,,721,721191,Bed-and-Breakfast Inns,721191,Bed-and-Breakfast Inns,,,,,541,541613,Marketing Consulting Services,541613,Marketing Consulting Services,
,,,,,,,,811,811191,Automotive Oil Change and Lubrication Shops,811191,Automotive Oil Change and Lubrication Shops,,,,,,,,,,,,,721,721199,All Other Traveler Accommodation,721199,All Other Traveler Accommodation,,,,,541,541614,"Process, Physical Distribution, and Logistics Consulting Services",541614,"Process, Physical Distribution, and Logistics Consulting Services",
,,,,,,,,811,811192,Car Washes,811192,Car Washes,,,,,,,,,,,,,721,721211,RV (Recreational Vehicle) Parks and Campgrounds,721211,RV (Recreational Vehicle) Parks and Campgrounds,,,,,541,541618,Other Management Consulting Services,541618,Other Management Consulting Services,
,,,,,,,,811,811198,All Other Automotive Repair and Maintenance,811198,All Other Automotive Repair and Maintenance,,,,,,,,,,,,,721,721214,Recreational and Vacation Camps (except Campgrounds),721214,Recreational and Vacation Camps (except Campgrounds),,,,,541,541620,Environmental Consulting Services,541620,Environmental Consulting Services,
,,,,,,,,811,811211,Consumer Electronics Repair and Maintenance,811211,Consumer Electronics Repair and Maintenance,,,,,,,,,,,,,721,721310,Rooming and Boarding Houses,721310,Rooming and Boarding Houses,,,,,541,541690,Other Scientific and Technical Consulting Services,541690,Other Scientific and Technical Consulting Services,
,,,,,,,,811,811212,Computer and Office Machine Repair and Maintenance,811212,Computer and Office Machine Repair and Maintenance,,,,,,,,,,,,,722,722110,Full-Service Restaurants,722110,Full-Service Restaurants,,,,,541,541710,"Research and Development in the Physical, Engineering, and Life Sciences",541710,"Research and Development in the Physical, Engineering, and Life Sciences",
,,,,,,,,811,811213,Communication Equipment Repair and Maintenance,811213,Communication Equipment Repair and Maintenance,,,,,,,,,,,,,722,722211,Limited-Service Restaurants,722211,Limited-Service Restaurants,,,,,541,541720,Research and Development in the Social Sciences and Humanities,541720,Research and Development in the Social Sciences and Humanities,
,,,,,,,,811,811219,Other Electronic and Precision Equipment Repair and Maintenance,811219,Other Electronic and Precision Equipment Repair and Maintenance,,,,,,,,,,,,,722,722212,Cafeterias,722212,"Cafeterias, Grill Buffets, and Buffets",,,,,541,541810,Advertising Agencies,541810,Advertising Agencies,
,,,,,,,,811,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,,,,,,,,,,,,722,722213,Snack and Nonalcoholic Beverage Bars,722213,Snack and Nonalcoholic Beverage Bars,,,,,541,541820,Public Relations Agencies,541820,Public Relations Agencies,
,,,,,,,,811,811411,Home and Garden Equipment Repair and Maintenance,811411,Home and Garden Equipment Repair and Maintenance,,,,,,,,,,,,,722,722310,Food Service Contractors,722310,Food Service Contractors,,,,,541,541830,Media Buying Agencies,541830,Media Buying Agencies,
,,,,,,,,811,811412,Appliance Repair and Maintenance,811412,Appliance Repair and Maintenance,,,,,,,,,,,,,722,722320,Caterers,722320,Caterers,,,,,541,541840,Media Representatives,541840,Media Representatives,
,,,,,,,,811,811420,Reupholstery and Furniture Repair,811420,Reupholstery and Furniture Repair,,,,,,,,,,,,,722,722330,Mobile Food Services,722330,Mobile Food Services,,,,,541,541850,Display Advertising,541850,Display Advertising,
,,,,,,,,811,811430,Footwear and Leather Goods Repair,811430,Footwear and Leather Goods Repair,,,,,,,,,,,,,722,722410,Drinking Places (Alcoholic Beverages),722410,Drinking Places (Alcoholic Beverages),,,,,541,541860,Direct Mail Advertising,541860,Direct Mail Advertising,
,,,,,,,,811,811490,Other Personal and Household Goods Repair and Maintenance,811490,Other Personal and Household Goods Repair and Maintenance,,,,,,,,,,,,,811,811111,General Automotive Repair,811111,General Automotive Repair,,,,,541,541870,Advertising Material Distribution Services,541870,Advertising Material Distribution Services,
,,,,,,,,812,812111,Barber Shops,812111,Barber Shops,,,,,,,,,,,,,811,811112,Automotive Exhaust System Repair,811112,Automotive Exhaust System Repair,,,,,541,541890,Other Services Related to Advertising,541890,Other Services Related to Advertising,
,,,,,,,,812,812112,Beauty Salons,812112,Beauty Salons,,,,,,,,,,,,,811,811113,Automotive Transmission Repair,811113,Automotive Transmission Repair,,,,,541,541910,Marketing Research and Public Opinion Polling,541910,Marketing Research and Public Opinion Polling,
,,,,,,,,812,812113,Nail Salons,812113,Nail Salons,,,,,,,,,,,,,811,811118,Other Automotive Mechanical and Electrical Repair and Maintenance,811118,Other Automotive Mechanical and Electrical Repair and Maintenance,,,,,541,541921,"Photography Studios, Portrait",541921,"Photography Studios, Portrait",
,,,,,,,,812,812191,Diet and Weight Reducing Centers,812191,Diet and Weight Reducing Centers,,,,,,,,,,,,,811,811121,"Automotive Body, Paint, and Interior Repair and Maintenance",811121,"Automotive Body, Paint, and Interior Repair and Maintenance",,,,,541,541922,Commercial Photography,541922,Commercial Photography,
,,,,,,,,812,812199,Other Personal Care Services,812199,Other Personal Care Services,,,,,,,,,,,,,811,811122,Automotive Glass Replacement Shops,811122,Automotive Glass Replacement Shops,,,,,541,541930,Translation and Interpretation Services,541930,Translation and Interpretation Services,
,,,,,,,,812,812210,Funeral Homes and Funeral Services,812210,Funeral Homes and Funeral Services,,,,,,,,,,,,,811,811191,Automotive Oil Change and Lubrication Shops,811191,Automotive Oil Change and Lubrication Shops,,,,,541,541940,Veterinary Services,541940,Veterinary Services,
,,,,,,,,812,812220,Cemeteries and Crematories,812220,Cemeteries and Crematories,,,,,,,,,,,,,811,811192,Car Washes,811192,Car Washes,,,,,541,541990,"All Other Professional, Scientific, and Technical Services",541990,"All Other Professional, Scientific, and Technical Services",
,,,,,,,,812,812310,Coin-Operated Laundries and Drycleaners,812310,Coin-Operated Laundries and Drycleaners,,,,,,,,,,,,,811,811198,All Other Automotive Repair and Maintenance,811198,All Other Automotive Repair and Maintenance,,,,,551,551111,Offices of Bank Holding Companies,551111,Offices of Bank Holding Companies,
,,,,,,,,812,812320,Drycleaning and Laundry Services (except Coin-Operated),812320,Drycleaning and Laundry Services (except Coin-Operated),,,,,,,,,,,,,811,811211,Consumer Electronics Repair and Maintenance,811211,Consumer Electronics Repair and Maintenance,,,,,551,551112,Offices of Other Holding Companies,551112,Offices of Other Holding Companies,
,,,,,,,,812,812331,Linen Supply,812331,Linen Supply,,,,,,,,,,,,,811,811212,Computer and Office Machine Repair and Maintenance,811212,Computer and Office Machine Repair and Maintenance,,,,,551,551114,"Corporate, Subsidiary, and Regional Managing Offices",551114,"Corporate, Subsidiary, and Regional Managing Offices",
,,,,,,,,812,812332,Industrial Launderers,812332,Industrial Launderers,,,,,,,,,,,,,811,811213,Communication Equipment Repair and Maintenance,811213,Communication Equipment Repair and Maintenance,,,,,561,561110,Office Administrative Services,561110,Office Administrative Services,
,,,,,,,,812,812910,Pet Care (except Veterinary) Services,812910,Pet Care (except Veterinary) Services,,,,,,,,,,,,,811,811219,Other Electronic and Precision Equipment Repair and Maintenance,811219,Other Electronic and Precision Equipment Repair and Maintenance,,,,,561,561210,Facilities Support Services,561210,Facilities Support Services,
,,,,,,,,812,812921,Photofinishing Laboratories (except One-Hour),812921,Photofinishing Laboratories (except One-Hour),,,,,,,,,,,,,811,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,,,,,561,561310,Employment Placement Agencies,561310,Employment Placement Agencies,
,,,,,,,,812,812922,One-Hour Photofinishing,812922,One-Hour Photofinishing,,,,,,,,,,,,,811,811411,Home and Garden Equipment Repair and Maintenance,811411,Home and Garden Equipment Repair and Maintenance,,,,,561,561320,Temporary Help Services,561320,Temporary Help Services,
,,,,,,,,812,812930,Parking Lots and Garages,812930,Parking Lots and Garages,,,,,,,,,,,,,811,811412,Appliance Repair and Maintenance,811412,Appliance Repair and Maintenance,,,,,561,561330,Employee Leasing Services,561330,Professional Employer Organizations,
